Id,SalePrice
1461,132137.0
1462,146307.38
1463,187435.4
1464,188136.7
1465,184170.84
1466,178811.19
1467,168508.0
1468,166539.27
1469,176694.44
1470,116561.234
1471,189978.64
1472,90772.7
1473,90563.88
1474,153675.03
1475,123203.875
1476,337555.28
1477,237214.81
1478,272510.75
1479,209660.61
1480,472501.34
1481,331951.06
1482,192493.39
1483,163776.5
1484,160095.72
1485,170462.3
1486,190084.47
1487,343511.5
1488,236245.83
1489,183187.44
1490,191865.12
1491,183467.17
1492,86863.75
1493,192485.14
1494,290594.28
1495,308601.72
1496,216973.8
1497,173979.1
1498,148707.38
1499,149845.25
1500,145092.12
1501,180082.53
1502,150010.55
1503,264874.62
1504,236478.9
1505,221098.19
1506,170320.77
1507,237273.19
1508,184836.48
1509,160300.9
1510,142988.39
1511,135842.33
1512,165004.83
1513,137579.45
1514,145779.38
1515,183975.98
1516,172848.39
1517,164996.66
1518,128472.93
1519,214763.81
1520,130398.68
1521,134981.48
1522,168536.94
1523,106746.56
1524,126914.195
1525,127046.31
1526,115229.41
1527,107335.06
1528,142910.0
1529,145523.66
1530,182929.77
1531,102516.38
1532,95882.305
1533,142336.55
1534,115595.266
1535,155212.12
1536,118401.89
1537,62899.44
1538,180729.78
1539,210972.56
1540,92534.44
1541,142600.14
1542,133909.72
1543,217311.34
1544,81903.445
1545,91938.92
1546,117078.39
1547,140196.94
1548,125246.85
1549,110111.43
1550,134703.2
1551,109223.6
1552,113803.99
1553,129758.57
1554,106520.09
1555,167249.61
1556,73612.82
1557,95769.71
1558,85541.93
1559,95438.66
1560,140332.97
1561,117804.71
1562,126037.43
1563,112447.35
1564,148959.6
1565,144597.33
1566,206958.67
1567,83553.02
1568,202990.0
1569,137994.69
1570,127242.375
1571,128827.38
1572,148039.48
1573,236864.64
1574,100049.19
1575,195866.62
1576,215093.81
1577,190736.92
1578,137656.62
1579,148715.17
1580,183843.03
1581,145840.28
1582,125868.79
1583,342461.84
1584,228659.16
1585,134069.97
1586,73305.2
1587,93804.305
1588,143938.3
1589,85320.81
1590,134691.52
1591,91818.875
1592,122662.12
1593,121773.73
1594,121849.24
1595,108708.375
1596,210235.05
1597,162480.3
1598,182889.11
1599,173876.92
1600,167712.81
1601,74780.32
1602,104923.27
1603,81697.26
1604,253759.53
1605,239320.77
1606,158215.77
1607,137066.88
1608,201648.83
1609,165962.0
1610,146611.88
1611,143877.64
1612,156898.16
1613,155601.61
1614,118504.69
1615,79366.36
1616,64470.324
1617,83651.33
1618,120079.41
1619,142077.8
1620,145446.8
1621,135833.52
1622,130800.23
1623,264743.8
1624,204404.4
1625,125754.92
1626,159902.55
1627,189977.0
1628,308294.03
1629,173085.94
1630,358583.56
1631,203324.4
1632,230232.88
1633,160258.56
1634,182932.9
1635,180249.72
1636,147346.64
1637,171538.12
1638,190865.03
1639,176558.16
1640,232746.05
1641,175678.06
1642,216861.05
1643,221786.02
1644,216063.6
1645,165269.73
1646,144068.77
1647,145098.5
1648,120606.195
1649,132773.52
1650,113392.75
1651,121032.17
1652,86870.875
1653,96677.734
1654,146790.67
1655,146834.64
1656,145544.89
1657,148915.56
1658,146432.88
1659,133691.66
1660,137295.69
1661,460215.28
1662,399286.4
1663,379617.72
1664,394883.8
1665,274012.06
1666,303761.66
1667,387011.62
1668,326061.22
1669,281343.28
1670,327750.34
1671,267782.8
1672,407242.4
1673,299089.34
1674,238079.89
1675,176352.86
1676,187653.97
1677,203423.9
1678,404368.12
1679,352390.2
1680,317641.97
1681,212449.27
1682,269436.6
1683,172049.12
1684,163991.25
